ID,POSID,BANNERNAME,NAME,ADDRESS,CITY,PROVINCE ABBV.,COUNTRY ABBV.,POSTALCODE,PHONENUMBER,LATITUDE,LONGITUDE,WEBSITE URL
146,1113,Bud Supply,Fort Bud Supply,2311 2 Avenue,Fort Mcleod,AB,CA,T0L 0Z0,,49.72503,-113.40881,https://budsupplygroup.ca/shop/1113?redirect=%2Fshop&agb=true
147,1041,Bud Supply,Harvest Bud Supply,5014 46 Ave,Taber,AB,CA,T1G 2A6,,49.78203,-112.14828,https://budsupplygroup.ca/shop/1041?redirect=%2Fshop&agb=true
148,1582,Bud Supply,North Bridge Bud Supply,#3-1475 St Edward Blvd N,Lethbridge,AB,CA,T1H 2P9,,49.71853,-112.83185,https://budsupplygroup.ca/shop/1582?redirect=%2Fshop&agb=true
149,1034,Bud Supply,Range Bud Supply,4817 1st Street,Claresholm,AB,CA,T0L 0T0,,50.02499,-113.58164,https://budsupplygroup.ca/shop/1034?redirect=%2Fshop&agb=true
150,592,Bud Supply,South Bridge Bud Supply,1917 Mayor McGrath Dr S #20,Lethbridge,AB,CA,T1K 2R8,,49.67369,-112.80034,https://budsupplygroup.ca/shop/592?redirect=%2Fshop&agb=true
151,1255,Bud Supply,Vulcan Bud Supply,Unit A 102 Service Road SW,Vulcan,AB,CA,TOL 2B0,,45.42177,-75.69122,https://budsupplygroup.ca/shop/1255?redirect=%2Fshop&agb=true
152,1887,Bud Supply,West Bridge Bud Supply,1-15 Micmac Blvd West,Lethbridge,AB,CA,T1K 7R1,,49.68595,-112.88457,https://budsupplygroup.ca/shop/1887?redirect=%2Fshop&agb=true
153,1058,Lucid,Edmonton | Brintnell,4355 167 Ave,Edmonton,AB,CA,T5Y 3Y2,,53.62863,-113.40678,https://lucidcannabis.ca/shop/1058?redirect=%2Fshop&agb=true
154,2382,Lucid,Edmonton | Callingwood,6613 177 St NW,Edmonton,AB,CA,T5T 4K3,,53.50246,-113.62727,https://lucidcannabis.ca/shop/2382?redirect=%2Fshop&agb=true
155,1280,Lucid,Edmonton | High Park,15211-111 Avenue,Edmonton,AB,CA,T5M 2R1,,53.5587,-113.58299,https://lucidcannabis.ca/shop/1280?redirect=%2Fshop&agb=true
156,1706,Lucid,Edmonton | Jasper Ave,235 Victoria Ave,Regina,SK,CA,S4N 0P4,,50.44713,-104.58016,https://lucidcannabis.ca/shop/1706?redirect=%2Fshop&agb=true
157,1927,Lucid,Edmonton | Tamarack,991 Tamarack Way NW,Edmonton,AB,CA,T6T 0N3,,53.48025,-113.36793,https://lucidcannabis.ca/shop/1927?redirect=%2Fshop&agb=true
158,1886,Lucid,Grande Prairie,13205 102 St #101,Grande Prairie ,AB,CA,T8X 0V5,,55.20112,-118.80275,https://lucidcannabis.ca/shop/1886?redirect=%2Fshop&agb=true
159,724,Lucid,Regina | Albert St,681 Albert St,Regina,SK,CA,S4R 2P4,,50.46677,-104.6174,https://lucidcannabis.ca/shop/724?redirect=%2Fshop&agb=true
160,3140,Lucid,Regina East | Victoria Ave,235 Victoria Ave,Regina,SK,CA,S4N 0P4,,50.44713,-104.58016,https://lucidcannabis.ca/shop/3140?redirect=%2Fshop&agb=true
161,2178,Lucid,Saskatoon,Unit 10-15 Worobetz Pl,Saskatoon,SK,CA,S7L 6R4,,52.13054,-106.72682,https://lucidcannabis.ca/shop/2178?redirect=%2Fshop&agb=true
162,648,Lucid,Spruce Grove King,"25A, 100 King Street",Spruce Grove,AB,CA,T7X 0J6,,53.5421,-113.89838,https://lucidcannabis.ca/shop/648?redirect=%2Fshop&agb=true
163,861,Lucid,Spruce Grove McLeod,104- 8 McLeod Avenue,Spruce Grove,AB,CA,T7X 3X3,,53.54312,-113.92716,https://lucidcannabis.ca/shop/861?redirect=%2Fshop&agb=true
164,2585,Lucid,Vernon,"105D, 3101 Highway 6",Vernon,BC,CA,V1T 9H6,,50.25628,-119.26235,https://lucidcannabis.ca/shop/2585?redirect=%2Fshop&agb=true
165,4575,Due North,695 Pine St,"Unit T6, 695 Pine St",Sault Ste Marie,ON,CA,P6B 3G2 ,,46.52286,-84.30747,https://duenorthcannabis.com/shop/4575?redirect=%2Fshop&agb=true
166,4576,Due North,710 Second Line,"Unit 5, 710 Second Line E",Sault Ste Marie,ON,CA,P6B 4K3,,46.5391,-84.31463,https://duenorthcannabis.com/shop/4576?redirect=%2Fshop&agb=true
167,4574,Due North,Churchill Plaza,"Unit C001, 150 Churchill Blvd",Sault Ste Marie,ON,CA,P6A 3Z9,,46.50933,-84.29851,https://duenorthcannabis.com/shop/4574?redirect=%2Fshop&agb=true
168,142704,Garden Variety,Sterling-Garden Variety Brandon,"655 Sterling Lyon Parkway, Unit 10",Winnipeg,MB,CA,R3P 2S8,,49.84184,-97.21723,https://gardenvariety.com/shop/142704?redirect=%2Fshop&agb=true
169,142706,Garden Variety,??1,,,,CA,,,,,https://gardenvariety.com/shop/142706?redirect=%2Fshop&agb=true
170,142702,Garden Variety,??2,,,,CA,,,,,https://gardenvariety.com/shop/142702?redirect=%2Fshop&agb=true
171,4594,Delta 9,Brandon,Unit 48- 1570 18 St,Brandon,MB,CA,R7A 5C5,,49.82649,-99.96269,https://delta9.ca/shop/4594?redirect=%2Fshop&agb=true
172,4604,Delta 9,Dauphin,Unit 2- 1351 Main St,Dauphin,MB,CA,R7N 2X7,,51.13649,-100.06326,https://delta9.ca/shop/4604?redirect=%2Fshop&agb=true
173,4590,Delta 9,Edmonton - Beverly,4512 118 Avenue NW,Edmonton,AB,CA,T5L 3P9,,53.57037,-113.41157,https://delta9.ca/shop/4590?redirect=%2Fshop&agb=true
174,4589,Delta 9,Edmonton - Kensington,12620 132 Avenue NW,Edmonton,AB,CA,T5L 3P9,,53.59301,-113.54035,https://delta9.ca/shop/4589?redirect=%2Fshop&agb=true
175,4587,Delta 9,Lloydminster,3427 50 Ave Unit 7,Lloydminster,SK,CA,S9V 0N9,,53.26902,-110.00527,https://delta9.ca/shop/4587?redirect=%2Fshop&agb=true
176,4600,Delta 9,Selkirk,379 Main St,Selkirk,MB,CA,R1A 1T5,,50.14421,-96.87382,https://delta9.ca/shop/4600?redirect=%2Fshop&agb=true
177,4595,Delta 9,Thompson,Unit 1200-300 Mystery Lake Road,Thompson,MB,CA,R8N 0M2,,55.74725,-97.84951,https://delta9.ca/shop/4595?redirect=%2Fshop&agb=true
178,4598,Delta 9,Winnipeg - Bunn's Creek,Unit 2-2001 Henderson Hwy,Winnipeg,MB,CA,R2G 1P7,,49.95771,-97.07074,https://delta9.ca/shop/4598?redirect=%2Fshop&agb=true
179,4603,Delta 9,Winnipeg - Crestview,3421 Portage Ave #10,Winnipeg,MB,CA,R3K 0X2,,49.88357,-97.30107,https://delta9.ca/shop/4603?redirect=%2Fshop&agb=true
180,4596,Delta 9,Winnipeg - Kenaston,1589 Kenaston Blvd Unit 2,Winnipeg,MB,CA,R3P 2M4,,49.82625,-97.20545,https://delta9.ca/shop/4596?redirect=%2Fshop&agb=true
181,4597,Delta 9,Winnipeg - Kildonan Crossing,655-1615 Regent Ave W,Winnipeg,MB,CA,R2C 5C6,,49.89938,-97.06919,https://delta9.ca/shop/4597?redirect=%2Fshop&agb=true
182,4605,Delta 9,Winnipeg - Marion,78 Marion St,Winnipeg,MB,CA,R2H 0G1,,49.8814,-97.1242,https://delta9.ca/shop/4605?redirect=%2Fshop&agb=true
183,4599,Delta 9,Winnipeg - Northgate,Unit 15- 1399 McPhillips St,Winnipeg,MB,CA,R2V 3C4,,49.94114,-97.15568,https://delta9.ca/shop/4599?redirect=%2Fshop&agb=true
184,4593,Delta 9,Winnipeg - Osborne Village (River),478 River Ave,Winnipeg,MB,CA,R3L 0B3,,49.87879,-97.1468,https://delta9.ca/shop/4593?redirect=%2Fshop&agb=true
185,4601,Delta 9,Winnipeg - Pembina,2081 Pembina Highway,Winnipeg,MB,CA,R3T 5J9,,49.81436,-97.15265,https://delta9.ca/shop/4601?redirect=%2Fshop&agb=true
186,4606,Delta 9,Winnipeg - Sargent,625 Sargent Avenue,Winnipeg,MB,CA,R3E 3G6,,49.89658,-97.16026,https://delta9.ca/shop/4606?redirect=%2Fshop&agb=true
